time,"Ambient temperature (℃)","Battery DC Capacity (kWh)","Battery DC Current (A)","Battery DC Max Voltage (V)","Battery DC Min Voltage (V)","Battery DC Voltage (V)","DC Battery Temperature (℃)","HV EV Battery Power (kW)","OBD Module Voltage (V)","State of charge (%)","State of health (%)","Vehicle speed (km/h)",
22:42:32.201,,,,,,,,,14.4,,,,
22:42:32.468,,,,,,,7,,,,,,
22:42:32.597,4,,,,,,,,,,,,
22:42:32.696,,,,,,,,,,,,0,
22:42:32.979,,,,,,,,,,67.75,,,
22:42:33.110,,29.125,,,,,,,,,,,
22:42:33.260,,,,,,,,,,,98.4375,,
22:42:33.370,,,,,,417.1875,,0.4628173828125,,,,,
22:42:33.492,,,1.109375,,,,,,,,,,
22:42:33.601,,,,,3.856,,,,,,,,
22:42:33.711,,,,3.868,,,,,,,,,
22:42:33.913,,,,,,,,,14.4,,,,
22:42:34.314,,,,,,,7,,,,,,
22:42:34.414,4,,,,,,,,,,,,
22:42:34.523,,,,,,,,,,,,0,
22:42:34.782,,,,,,,,,,67.748046875,,,
22:42:34.912,,29.125,,,,,,,,,,,
22:42:35.096,,,,,,,,,,,98.4375,,
22:42:35.196,,,,,,417.1875,,0.4628173828125,,,,,
22:42:35.298,,,1.09375,,,,,,,,,,
22:42:35.386,,,,,3.857,,,,,,,,
22:42:35.463,,,,3.867,,,,,,,,,
22:42:35.686,,,,,,,,,14.4,,,,
22:42:35.966,,,,,,,7,,,,,,
22:42:36.054,4,,,,,,,,,,,,
22:42:36.109,,,,,,,,,,,,0,
22:42:36.346,,,,,,,,,,67.748046875,,,
22:42:36.391,,29.125,,,,,,,,,,,
22:42:36.449,,,,,,,,,,,98.4375,,
22:42:36.515,,,,,,417.1875,,0.456298828125,,,,,
22:42:36.572,,,1.03125,,,,,,,,,,
22:42:36.630,,,,,3.857,,,,,,,,
22:42:36.696,,,,3.868,,,,,,,,,
22:42:36.864,,,,,,,,,14.4,,,,
22:42:37.253,,,,,,,7,,,,,,
22:42:37.318,4,,,,,,,,,,,,
22:42:37.373,,,,,,,,,,,,0,
22:42:37.588,,,,,,,,,,67.748046875,,,
22:42:37.666,,29.125,,,,,,,,,,,
22:42:37.711,,,,,,,,,,,98.4375,,
22:42:37.778,,,,,,417.1875,,0.430224609375,,,,,
22:42:37.875,,,1.0625,,,,,,,,,,
22:42:37.963,,,,,3.856,,,,,,,,
22:42:38.093,,,,3.868,,,,,,,,,
22:42:38.326,,,,,,,,,14.4,,,,
22:42:38.559,,,,,,,7,,,,,,
22:42:38.689,4,,,,,,,,,,,,
22:42:38.794,,,,,,,,,,,,0,
22:42:39.090,,,,,,,,,,67.74609375,,,
22:42:39.143,,29.125,,,,,,,,,,,
22:42:39.218,,,,,,,,,,,98.4375,,
22:42:39.282,,,,,,417.1875,,0.44326171875,,,,,
22:42:39.334,,,1.09375,,,,,,,,,,
22:42:39.408,,,,,3.856,,,,,,,,
22:42:39.483,,,,3.867,,,,,,,,,
22:42:39.842,,,,,,,,,14.4,,,,
22:42:40.172,,,,,,,7,,,,,,
22:42:40.226,4,,,,,,,,,,,,
22:42:40.279,,,,,,,,,,,,0,
